Votes12,Votes16,otherpres_shift,democratic_shift,republican_shift,state,county,fips,trump16,trump_zero,clinton16,clinton_zero,otherpres16,otherpres16_ 0,romney12,romney_zero,obama12,obama_zero,otherpres12,otherpres12_0,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
34.296541923,24.290942360,1.692827576,-10.005599563,8.312771987,Pennsylvania,Cameron,42023,1589,True,531,True,66,True,1359,True,724,True,28,True,593,1390,171,526,1620,0,NA,NA,NA,754,593,0,4807,3935,97.004368629,0.603286873,0.811316830,2.995631371,1.809860620,49.407114625,28.728936967,23.777824007,40347,4.868421053,12.830396476,84.416299559,12.859560068,84.602368866,47.354965585,7
45.267972323,31.053655824,1.869356407,-14.214316499,12.344960092,Pennsylvania,Carbon,42025,18743,True,8936,True,1097,True,13504,True,11580,True,497,True,10086,16360,1770,10939,16828,0,NA,NA,NA,7855,9156,0,64330,51115,92.679931603,1.599564744,4.066531945,7.320068397,2.679931603,50.343541116,32.047256335,19.536763563,50822,7.987290802,10.774939044,84.024170465,10.372000090,83.979525402,47.162408619,2
49.085111883,48.705153123,2.890777710,-0.379958761,-2.510818950,Pennsylvania,Centre,42027,35274,True,37088,True,3786,True,34001,True,34176,True,1449,True,35487,36527,4378,33383,41437,0,NA,NA,NA,16460,22346,0,159178,126495,86.146326754,3.471585269,2.757918808,13.853673246,8.106019676,47.506564978,49.057030494,12.443930694,54407,4.851121618,6.699651315,57.604418806,6.256497270,58.753241167,32.217676472,3
49.335047803,52.709077381,2.973788734,3.374029578,-6.347818313,Pennsylvania,Chester,42029,116114,True,141682,True,11004,True,124840,True,124311,True,2822,True,127552,133662,9588,120661,145030,1690,NA,NA,NA,74922,80507,0,512028,367555,80.635434000,5.671369534,7.062309092,19.364566000,9.204184146,50.782574390,38.320560594,14.571273446,88995,5.330753936,7.045427520,49.767250305,4.595359327,47.870949442,13.276580221,1
31.236871370,24.368406045,2.046365689,-6.868465325,4.822099636,Pennsylvania,Clarion,42031,12576,True,4273,True,686,True,10828,True,5056,True,302,True,4931,11310,1204,3168,13456,0,NA,NA,NA,6155,4176,0,38939,31395,96.340429903,1.070905776,0.773003929,3.659570097,1.016975269,51.249390072,39.004596934,17.773954133,42890,7.123302672,11.485891497,79.126306520,11.364169993,79.294826642,76.560468140,6
34.789001157,23.926935310,1.762524907,-10.862065848,9.099540940,Pennsylvania,Clearfield,42033,24932,True,8200,True,1139,True,20347,True,11121,True,499,True,9454,22128,2429,8653,25186,0,NA,NA,NA,11156,9680,0,81170,64075,93.305408402,2.275471233,2.844647037,6.694591598,2.971541210,47.941357644,32.810151534,18.940495257,43361,8.117246080,12.886858607,86.781066685,11.785101580,86.466817156,53.849734205,4
43.226535997,30.817201507,2.360702602,-12.409334490,10.048631888,Pennsylvania,Clinton,42035,10022,True,4744,True,628,True,7303,True,5734,True,228,True,5511,8702,952,4530,10579,0,NA,NA,NA,3886,4543,0,39536,31165,95.386483205,1.535309591,1.358255767,4.613516795,1.381019830,50.973796034,41.911169567,17.219749089,47163,6.554257625,12.365741665,82.507486524,11.943178552,82.629223632,45.690402161,4
42.684307068,31.649426102,2.813695932,-11.034880966,8.221185034,Pennsylvania,Columbia,42037,18004,True,8934,True,1290,True,14236,True,10937,True,450,True,9819,16292,1991,9251,18873,0,NA,NA,NA,8413,6421,0,66772,54050,93.518241179,1.767207812,2.523512850,6.481758821,2.309351225,51.867549272,39.702270413,17.257233571,46952,5.302651326,11.026233333,78.640532443,10.632953784,78.674289542,40.851474850,3
39.230812705,29.262242612,2.384746265,-9.968570093,7.583823828,Pennsylvania,Crawford,42039,24987,True,10971,True,1534,True,20901,True,13883,True,604,True,11047,24472,1740,611,29115,0,NA,NA,NA,12770,9682,0,87027,67805,95.176209682,1.807485033,1.168602847,4.823790318,1.185838878,51.116320222,36.505911958,18.347179611,45637,6.770653939,11.678734693,79.367012580,11.266876144,79.336003591,63.700782966,4
40.037359900,38.715804534,3.008062341,-1.321555366,-1.686506974,Pennsylvania,Cumberland,42041,69076,True,47085,True,5456,True,64809,True,44367,True,1638,True,44796,71638,5509,42188,78381,0,NA,NA,NA,43589,31264,0,243838,187840,87.364561717,3.438348412,3.396517360,12.635438283,5.873571798,50.588095375,37.034014387,17.053945652,62640,5.070728210,8.628561317,66.356986964,7.915236551,66.261968670,22.177854430,2
